Date and time,temperature,quality information,homogeneous number
2025/6/2 1:00,14.6,8,1
2025/6/2 2:00,14.4,8,1
2025/6/2 3:00,14,8,1
2025/6/2 4:00,13.9,8,1
2025/6/2 5:00,13.8,8,1
2025/6/2 6:00,14.9,8,1
2025/6/2 7:00,17.8,8,1
2025/6/2 8:00,18.6,8,1
2025/6/2 9:00,20.1,8,1
2025/6/2 10:00,22.6,8,1
2025/6/2 11:00,24.7,8,1
2025/6/2 12:00,24.9,8,1
2025/6/2 13:00,25.9,8,1
2025/6/2 14:00,26.3,8,1
2025/6/2 15:00,26.2,8,1
2025/6/2 16:00,25.4,8,1
2025/6/2 17:00,24.8,8,1
2025/6/2 18:00,23.5,8,1
2025/6/2 19:00,22.2,8,1
2025/6/2 20:00,20.9,8,1
2025/6/2 21:00,20.2,8,1
2025/6/2 22:00,19.5,8,1
2025/6/2 23:00,19.1,8,1
2025/6/3 0:00,19.1,8,1
2025/6/3 1:00,19.1,8,1
2025/6/3 2:00,19.5,8,1
2025/6/3 3:00,19.3,8,1
2025/6/3 4:00,17.8,8,1
2025/6/3 5:00,17.3,8,1
2025/6/3 6:00,17.3,8,1
2025/6/3 7:00,17,8,1
2025/6/3 8:00,17.2,8,1
2025/6/3 9:00,17.3,8,1
2025/6/3 10:00,17.8,8,1
2025/6/3 11:00,18.4,8,1
2025/6/3 12:00,17.8,8,1
2025/6/3 13:00,18.1,8,1
2025/6/3 14:00,18.6,8,1
2025/6/3 15:00,19,8,1
2025/6/3 16:00,18.6,8,1
2025/6/3 17:00,18.6,8,1
2025/6/3 18:00,18.7,8,1
2025/6/3 19:00,18.7,8,1
2025/6/3 20:00,18.5,8,1
2025/6/3 21:00,18.4,8,1
2025/6/3 22:00,18.6,8,1
2025/6/3 23:00,18.6,8,1
2025/6/4 0:00,18.4,8,1
2025/6/4 1:00,17.9,8,1
2025/6/4 2:00,17.5,8,1
2025/6/4 3:00,16.7,8,1
2025/6/4 4:00,16.6,8,1
2025/6/4 5:00,16.2,8,1
2025/6/4 6:00,18.1,8,1
2025/6/4 7:00,19.4,8,1
2025/6/4 8:00,21.2,8,1
2025/6/4 9:00,23.9,8,1
2025/6/4 10:00,24.5,8,1
2025/6/4 11:00,24.4,8,1
2025/6/4 12:00,25.3,8,1
2025/6/4 13:00,26.1,8,1
2025/6/4 14:00,27.2,8,1
2025/6/4 15:00,28,8,1
2025/6/4 16:00,27.1,8,1
2025/6/4 17:00,25.9,8,1
2025/6/4 18:00,24.1,8,1
2025/6/4 19:00,22.4,8,1
2025/6/4 20:00,21.1,8,1
2025/6/4 21:00,18.9,8,1
2025/6/4 22:00,16.8,8,1
2025/6/4 23:00,15.4,8,1
2025/6/5 0:00,14.8,8,1
2025/6/5 1:00,14.4,8,1
2025/6/5 2:00,13.8,8,1
2025/6/5 3:00,13.7,8,1
2025/6/5 4:00,12.4,8,1
2025/6/5 5:00,12.1,8,1
2025/6/5 6:00,13.6,8,1
2025/6/5 7:00,16.5,8,1
2025/6/5 8:00,19.9,8,1
2025/6/5 9:00,24.9,8,1
2025/6/5 10:00,25.8,8,1
2025/6/5 11:00,26.8,8,1
2025/6/5 12:00,27.2,8,1
2025/6/5 13:00,28.7,8,1
2025/6/5 14:00,28.7,8,1
2025/6/5 15:00,29.1,8,1
2025/6/5 16:00,29.2,8,1
2025/6/5 17:00,28.4,8,1
2025/6/5 18:00,27.1,8,1
2025/6/5 19:00,23.6,8,1
2025/6/5 20:00,20.3,8,1
2025/6/5 21:00,19.1,8,1
2025/6/5 22:00,17.7,8,1
2025/6/5 23:00,16.9,8,1
2025/6/6 0:00,16.4,8,1
2025/6/6 1:00,16,8,1
2025/6/6 2:00,15.9,8,1
2025/6/6 3:00,16.2,8,1
2025/6/6 4:00,15.8,8,1
2025/6/6 5:00,14.5,8,1
2025/6/6 6:00,16.1,8,1
2025/6/6 7:00,19,8,1
2025/6/6 8:00,23.3,8,1
2025/6/6 9:00,25.1,8,1
2025/6/6 10:00,26.1,8,1
2025/6/6 11:00,27.9,8,1
2025/6/6 12:00,29.1,8,1
2025/6/6 13:00,28.5,8,1
2025/6/6 14:00,27.3,8,1
2025/6/6 15:00,26.3,8,1
2025/6/6 16:00,27.2,8,1
2025/6/6 17:00,25.4,8,1
2025/6/6 18:00,24.1,8,1
2025/6/6 19:00,23,8,1
2025/6/6 20:00,22.2,8,1
2025/6/6 21:00,21.1,8,1
2025/6/6 22:00,19.8,8,1
2025/6/6 23:00,19.4,8,1
2025/6/7 0:00,19,8,1
2025/6/7 1:00,19.2,8,1
2025/6/7 2:00,18.8,8,1
2025/6/7 3:00,18.6,8,1
2025/6/7 4:00,18.7,8,1
2025/6/7 5:00,18,8,1
2025/6/7 6:00,18.7,8,1
2025/6/7 7:00,20.5,8,1
2025/6/7 8:00,22.2,8,1
2025/6/7 9:00,23.4,8,1
2025/6/7 10:00,24.6,8,1
2025/6/7 11:00,27.2,8,1
2025/6/7 12:00,27.4,8,1
2025/6/7 13:00,27.1,8,1
2025/6/7 14:00,27.5,8,1
2025/6/7 15:00,26.4,8,1
2025/6/7 16:00,26,8,1
2025/6/7 17:00,25.5,8,1
2025/6/7 18:00,25,8,1
2025/6/7 19:00,23.7,8,1
2025/6/7 20:00,21.2,8,1
2025/6/7 21:00,20.8,8,1
2025/6/7 22:00,20.1,8,1
2025/6/7 23:00,19.8,8,1
2025/6/8 0:00,19.7,8,1
2025/6/8 1:00,19.5,8,1
2025/6/8 2:00,19.4,8,1
2025/6/8 3:00,19.3,8,1
2025/6/8 4:00,19.4,8,1
2025/6/8 5:00,19.4,8,1
2025/6/8 6:00,19.4,8,1
2025/6/8 7:00,20.2,8,1
2025/6/8 8:00,21.1,8,1
2025/6/8 9:00,22.5,8,1
2025/6/8 10:00,23.4,8,1
2025/6/8 11:00,25.3,8,1
2025/6/8 12:00,27.9,8,1
2025/6/8 13:00,26.9,8,1
2025/6/8 14:00,27,8,1
2025/6/8 15:00,26.7,8,1
2025/6/8 16:00,25.6,8,1
2025/6/8 17:00,24.6,8,1
2025/6/8 18:00,23.4,8,1
2025/6/8 19:00,22.8,8,1
2025/6/8 20:00,22,8,1
2025/6/8 21:00,21.2,8,1
2025/6/8 22:00,20.7,8,1
2025/6/8 23:00,20.3,8,1
2025/6/9 0:00,19.1,8,1
2025/6/9 1:00,18.5,8,1
2025/6/9 2:00,18.3,8,1
2025/6/9 3:00,18,8,1
2025/6/9 4:00,17.6,8,1
2025/6/9 5:00,17.5,8,1
2025/6/9 6:00,17.9,8,1
2025/6/9 7:00,19.9,8,1
2025/6/9 8:00,21.5,8,1
2025/6/9 9:00,23.5,8,1
2025/6/9 10:00,24.3,8,1
2025/6/9 11:00,24.1,8,1
2025/6/9 12:00,24.6,8,1
2025/6/9 13:00,23.3,8,1
2025/6/9 14:00,20.9,8,1
2025/6/9 15:00,20.2,8,1
2025/6/9 16:00,20.2,8,1
2025/6/9 17:00,19.7,8,1
2025/6/9 18:00,19.7,8,1
2025/6/9 19:00,19.6,8,1
2025/6/9 20:00,19.4,8,1
2025/6/9 21:00,19.4,8,1
2025/6/9 22:00,19.4,8,1
2025/6/9 23:00,19.5,8,1
2025/6/10 0:00,19.3,8,1
2025/6/10 1:00,19.1,8,1
2025/6/10 2:00,19,8,1
2025/6/10 3:00,19.1,8,1
2025/6/10 4:00,19,8,1
2025/6/10 5:00,18.8,8,1
2025/6/10 6:00,19,8,1
2025/6/10 7:00,19.4,8,1
2025/6/10 8:00,19.4,8,1
2025/6/10 9:00,19.8,8,1
2025/6/10 10:00,19.7,8,1
2025/6/10 11:00,20.4,8,1
2025/6/10 12:00,20.5,8,1
2025/6/10 13:00,20.5,8,1
2025/6/10 14:00,21.5,8,1
2025/6/10 15:00,22.4,8,1
2025/6/10 16:00,22.7,8,1
2025/6/10 17:00,22.8,8,1
2025/6/10 18:00,22.9,8,1
2025/6/10 19:00,22.7,8,1
