    K       Class  Precision    Recall  F1-Score  Support
0   1      setosa   1.000000  1.000000  1.000000     10.0
1   1  versicolor   1.000000  1.000000  1.000000      9.0
2   1   virginica   1.000000  1.000000  1.000000     11.0
3   3      setosa   1.000000  1.000000  1.000000     10.0
4   3  versicolor   1.000000  1.000000  1.000000      9.0
5   3   virginica   1.000000  1.000000  1.000000     11.0
6   5      setosa   1.000000  1.000000  1.000000     10.0
7   5  versicolor   1.000000  1.000000  1.000000      9.0
8   5   virginica   1.000000  1.000000  1.000000     11.0
9   7      setosa   1.000000  1.000000  1.000000     10.0
10  7  versicolor   1.000000  0.888889  0.941176      9.0
11  7   virginica   0.916667  1.000000  0.956522     11.0
